Model,Accuracy,Precision,Recall,F1,AUC,Training Time
,0,0,0,0,0,0
XGBoost,0.9918500793669597,0.9921874681645567,0.9918500793669597,0.991943319400903,0.999830776750599,10.662481307983398
RandomForest,0.9728020090502025,0.9761655038924194,0.9728020090502025,0.9739315477821099,0.9974484711712022,22.9247944355011
LogisticRegression,0.8989788907578953,0.903529117088991,0.8989788907578953,0.9005220682924714,0.992445379105963,757.8755950927734
GradientBoosting,0.9919685375156957,0.9923610258218782,0.9919685375156957,0.9920762410788894,0.9998373047659852,9235.321278333664
AdaBoost,0.6040654836646213,0.5000999464163873,0.6040654836646213,0.5257205279361439,0.8729213455692937,171.46012210845947
DecisionTree,0.9388519036224502,0.9596342670337895,0.9388519036224502,0.9433201807725157,0.9914517904204025,15.01029348373413
KNN,0.9864720794143429,0.9868179900400406,0.9864720794143429,0.9865919783031303,0.9928016559707487,59.85714936256409
NaiveBayes,0.6662323201213012,0.8027559218165533,0.6662323201213012,0.6392656140556785,0.9761843906376061,3.0628390312194824
