Model,Accuracy,Precision,Recall,F1,AUC,Training Time
mlp,0.9551754365182781,0.9624189449444672,0.9551754365182781,0.9560049140665136,0.9981039667050542,26.298691034317017
deep,0.9183112606316188,0.9414108951169505,0.9183112606316188,0.9107249247180891,0.9962873407921956,171.33873963356018
residual,0.8985761330521926,0.9583684860210113,0.8985761330521926,0.9033657311979104,0.9958391653843341,64.74550724029541
DL_Ensemble,0.9611694188443223,0.9656767378589918,0.9611694188443223,0.9625793247894688,0.9981478955231303,262.3829379081726
